K,Accuracy
37.0,0.9926027868570445
31.0,0.9925741154882735
32.0,0.9925454441195023
24.0,0.9925167727507311
30.0,0.9924594300131888
33.0,0.9924307586444177
26.0,0.9924020872756465
45.0,0.9924020872756465
35.0,0.9923734159068754
44.0,0.9923447445381043
36.0,0.9923447445381043
25.0,0.9923160731693331
27.0,0.992287401800562
38.0,0.992287401800562
41.0,0.9922587304317908
22.0,0.9922587304317908
34.0,0.9922300590630196
28.0,0.9922300590630196
23.0,0.9922300590630196
43.0,0.9922300590630196
39.0,0.9922300590630196
53.0,0.9922300590630196
40.0,0.9922013876942485
46.0,0.9921440449567063
29.0,0.9921153735879351
52.0,0.9921153735879351
19.0,0.992086702219164
17.0,0.9920580308503928
20.0,0.9920293594816216
51.0,0.9920293594816216
21.0,0.9920006881128505
42.0,0.9919720167440793
49.0,0.9919433453753083
50.0,0.9919433453753083
54.0,0.9919433453753083
16.0,0.9918860026377659
47.0,0.9918860026377659
18.0,0.9917713171626813
48.0,0.9916853030563679
15.0,0.9916853030563679
13.0,0.9916566316875968
5.0,0.9914846034749699
9.0,0.9914846034749699
12.0,0.9913985893686564
7.0,0.9913985893686564
14.0,0.9913412466311141
3.0,0.9911978897872584
10.0,0.9909685188370893
11.0,0.9909398474683181
8.0,0.9908825047307759
