K,Accuracy
21.0,0.9914272607374276
21.0,0.9914272607374276
19.0,0.9914272607374276
19.0,0.9914272607374276
20.0,0.9913985893686564
33.0,0.9913985893686564
33.0,0.9913985893686564
20.0,0.9913985893686564
29.0,0.9913125752623431
29.0,0.9913125752623431
22.0,0.9912839038935719
22.0,0.9912839038935719
24.0,0.9912265611560296
34.0,0.9912265611560296
39.0,0.9912265611560296
24.0,0.9912265611560296
34.0,0.9912265611560296
39.0,0.9912265611560296
49.0,0.9911978897872584
30.0,0.9911978897872584
31.0,0.9911978897872584
49.0,0.9911978897872584
32.0,0.9911978897872584
16.0,0.9911978897872584
16.0,0.9911978897872584
30.0,0.9911978897872584
31.0,0.9911978897872584
32.0,0.9911978897872584
45.0,0.9911692184184873
38.0,0.9911692184184873
38.0,0.9911692184184873
18.0,0.9911692184184873
45.0,0.9911692184184873
18.0,0.9911692184184873
35.0,0.9911405470497161
27.0,0.9911405470497161
43.0,0.9911405470497161
35.0,0.9911405470497161
43.0,0.9911405470497161
27.0,0.9911405470497161
28.0,0.991111875680945
36.0,0.991111875680945
36.0,0.991111875680945
28.0,0.991111875680945
46.0,0.991111875680945
46.0,0.991111875680945
44.0,0.9910832043121739
17.0,0.9910832043121739
17.0,0.9910832043121739
48.0,0.9910832043121739
